years_since_introduction,release_date,lo_survival,median_survival,hi_survival
0,2006-08-07,0.89,0.935,0.98
0,2013-07-16,0.705555555555556,0.744444444444444,0.794444444444444
1,2006-08-07,0.54,0.605,0.69
1,2013-07-16,0.25,0.2875,0.3625
2,2006-08-07,0.31,0.35,0.42
2,2013-07-16,0.1,0.1,0.15
3,2006-08-07,0.2,0.23125,0.2875
3,2013-07-16,0.05,0.075,0.1
4,2006-08-07,0.1,0.125,0.183333333333333
4,2013-07-16,0.05,0.05,0.1
5,2006-08-07,0.075,0.1,0.15
5,2013-07-16,0.05,0.05,0.05
6,2006-08-07,0.0666666666666667,0.075,0.116666666666667
6,2013-07-16,0.05,0.05,0.05
7,2006-08-07,0.05,0.0522727272727273,0.0636363636363636
7,2013-07-16,0,0,0.05
8,2006-08-07,0.025,0.025,0.04375
8,2013-07-16,0,0,0.025
9,2006-08-07,0,0,0.0166666666666667
10,2006-08-07,0,0,0
11,2006-08-07,0,0,0
12,2006-08-07,0,0,0
13,2006-08-07,0,0,0
14,2006-08-07,0,0,0
15,2006-08-07,0,0,0
