site_id,survey_date,pit_tag_id,bd_load
50183,2024-07-29,982091068552230,0
50183,2024-07-29,982091068562998,0
50183,2024-07-29,982091068563975,0
50183,2024-07-30,982091062745786,0
50183,2024-07-30,982091062745885,0
50183,2024-07-30,982091065244933,0
50183,2024-07-30,982091068552230,NA
50183,2024-07-30,982091068561631,0
50183,2024-07-30,982091068563136,0
50183,2024-07-31,982091062745786,NA
50183,2024-07-31,982091068539198,0
50183,2024-07-31,982091068542106,0
50183,2024-09-06,982091062745845,0
50183,2024-09-06,982091076711398,0
50183,2024-09-06,982091076711424,0
50183,2024-09-07,982091062745885,0
50183,2024-09-07,982091068541864,0
50183,2024-09-07,982091068552230,0
50183,2024-09-07,982091068563975,0
50183,2024-09-07,982091076711367,0
50183,2024-09-07,982091076711464,0
50183,2024-09-07,982091076711562,0
50183,2024-09-08,982091068563399,0
50183,2024-09-08,982091076711449,0
50183,2024-09-08,982091076711522,0
50183,2025-07-03,982091062745885,0
50183,2025-07-03,982091068540457,0
50183,2025-07-03,982091068542106,0
50183,2025-07-03,982091068558549,0
50183,2025-07-03,982091076711371,0
50183,2025-07-04,982091062745885,NA
50183,2025-07-04,982091068560049,0
50183,2025-07-04,982091076711398,0
50183,2025-07-04,982091076711449,0
50183,2025-07-04,982091076711460,0
50183,2025-07-05,982091065244933,0
50183,2025-07-05,982091068535010,0
50183,2025-07-05,982091068552230,0
50183,2025-07-05,982091068560049,NA
50183,2025-07-05,982091076711398,NA
50183,2025-07-05,982091076711405,0
50183,2025-07-05,982091076711410,583.672
50183,2025-07-05,982091076711421,0
50183,2025-07-05,982091076711459,0
50183,2025-07-05,982091076711460,NA
50183,2025-07-05,982091076711532,0
50183,2025-07-05,982091076711536,0
50183,2025-08-21,982091068552230,0
50183,2025-08-21,982091076711396,0
50183,2025-08-21,982091076711406,0
50183,2025-08-21,982091076711412,0
50183,2025-08-21,982091076711449,0
50183,2025-08-21,982091076711536,0
