site_id,survey_date,pit_tag_id,bd_load
22008,2016-07-19,900067000089683,NA
22008,2016-07-21,900067000089652,NA
22008,2016-07-23,900067000089683,NA
22008,2016-07-23,900067000089755,NA
22008,2016-08-14,900067000089652,17157.808
22008,2016-08-14,900067000089680,108226.272
22008,2016-08-14,900067000089755,4869.544
22008,2016-08-14,900067000089846,13321.4
22008,2016-08-14,900067000089874,22418.96
22008,2016-08-14,900067000089965,23138.792
22008,2016-08-14,900067000089993,196558.328
22008,2016-08-15,900067000089639,4599.336
22008,2016-08-15,900067000089652,NA
22008,2016-08-15,900067000089680,NA
22008,2016-08-15,900067000089741,7102.144
22008,2016-08-15,900067000089874,NA
22008,2016-08-15,900067000089943,4815.48
22008,2016-08-15,900067000089993,NA
22008,2016-08-16,900067000089560,14225.512
22008,2016-08-16,900067000089680,NA
22008,2016-08-16,900067000089683,6013.664
22008,2016-08-16,900067000089741,NA
22008,2016-08-16,900067000089803,11493.088
22008,2016-08-16,900067000089837,3920.36
22008,2016-08-16,900067000089846,NA
22008,2016-08-16,900067000089874,NA
22008,2016-08-16,900067000089900,3978.4
22008,2016-08-16,900067000089965,NA
22008,2016-08-16,900067000089993,NA
22008,2016-09-07,900067000089639,5972.976
22008,2016-09-07,900067000089652,922.96
22008,2016-09-07,900067000089704,31888.16
22008,2016-09-07,900067000089724,117541.44
22008,2016-09-07,900067000089741,7764.592
22008,2016-09-07,900067000089846,0
22008,2016-09-07,900067000089874,8717.504
22008,2016-09-07,900067000089993,1993314.576
22008,2016-09-08,900067000089636,3325.848
22008,2016-09-08,900067000089652,NA
22008,2016-09-08,900067000089680,2221.96
22008,2016-09-08,900067000089704,NA
22008,2016-09-08,900067000089741,NA
22008,2016-09-08,900067000089755,0
22008,2016-09-08,900067000089829,446.232
22008,2016-09-08,900067000089900,2530.52
22008,2016-09-08,900067000089965,4311.272
22008,2016-09-08,900067000089993,NA
22008,2016-09-09,900067000089652,NA
22008,2016-09-09,900067000089680,NA
22008,2016-09-09,900067000089704,NA
22008,2016-09-09,900067000089741,NA
22008,2016-09-09,900067000089755,NA
22008,2016-09-09,900067000089846,NA
22008,2016-09-09,900067000089874,NA
22008,2016-09-09,900067000089965,NA
22008,2017-08-08,900067000089520,7096.08
22008,2017-08-08,900067000089593,3412.6
22008,2017-08-08,900067000089652,2644.944
22008,2017-08-08,900067000089676,102.28
22008,2017-08-08,900067000089680,79175.448
22008,2017-08-08,900067000089709,421.416
22008,2017-08-08,900067000089755,0
22008,2017-08-08,900067000089829,787.568
22008,2017-08-08,900067000089837,2933.52
22008,2017-08-08,900067000089900,108.44
22008,2017-08-08,900067000089965,0
22008,2017-08-09,900067000089560,0
22008,2017-08-09,900067000089593,NA
22008,2017-08-09,900067000089636,1337.232
22008,2017-08-09,900067000089652,NA
22008,2017-08-09,900067000089676,NA
22008,2017-08-09,900067000089680,NA
22008,2017-08-09,900067000089704,0
22008,2017-08-09,900067000089709,NA
22008,2017-08-09,900067000089741,0
22008,2017-08-09,900067000089755,NA
22008,2017-08-09,900067000089780,0
22008,2017-08-09,900067000089829,NA
22008,2017-08-09,900067000089837,NA
22008,2017-08-09,900067000089900,NA
22008,2017-08-09,900067000089965,NA
22008,2017-08-10,900067000089560,NA
22008,2017-08-10,900067000089636,NA
22008,2017-08-10,900067000089652,NA
