"site_id","release_date","pit_tag_id","type"
"10285",2013-09-04,"900118001027591","reintroduction"
"10285",2013-09-04,"900118001027654","reintroduction"
"10285",2013-09-04,"900118001027835","reintroduction"
"10285",2013-09-04,"900118001028116","reintroduction"
"10285",2013-09-04,"900118001028201","reintroduction"
"10285",2013-09-04,"900118001028255","reintroduction"
"10285",2013-09-04,"900118001028278","reintroduction"
"10285",2013-09-04,"900118001028293","reintroduction"
"10285",2013-09-04,"900118001028607","reintroduction"
"10285",2013-09-04,"900118001028719","reintroduction"
"10285",2013-09-04,"900118001028806","reintroduction"
"10285",2013-09-04,"900118001028871","reintroduction"
"10285",2013-09-04,"900118001028928","reintroduction"
"10285",2013-09-04,"900118001029134","reintroduction"
"10285",2013-09-04,"900118001029176","reintroduction"
"10285",2013-09-04,"900118001029185","reintroduction"
"10285",2013-09-04,"900118001029263","reintroduction"
"10285",2013-09-04,"900118001029265","reintroduction"
"10285",2013-09-04,"900118001029426","reintroduction"
"10285",2013-09-04,"900118001029496","reintroduction"
"10285",2013-09-04,"900118001029675","reintroduction"
"10285",2013-09-04,"900118001029676","reintroduction"
"10285",2013-09-04,"900118001029842","reintroduction"
"10285",2013-09-04,"900118001030153","reintroduction"
"10285",2013-09-04,"900118001030160","reintroduction"
"10285",2013-09-04,"900118001030251","reintroduction"
"10285",2013-09-04,"900118001030405","reintroduction"
"10285",2013-09-04,"900118001030568","reintroduction"
"10285",2013-09-04,"900118001057482","reintroduction"
"10285",2013-09-04,"900118001058314","reintroduction"
"10285",2013-09-04,"985121019097871","reintroduction"
"10285",2013-09-04,"985121019099621","reintroduction"
