site_id,type,release_date,pit_tag_id
10109,reintroduction,2022-07-21,900043000200816
10109,reintroduction,2022-07-21,900043000215604
10109,reintroduction,2022-07-21,900043000215608
10109,reintroduction,2022-07-21,900043000215614
10109,reintroduction,2022-07-21,900043000215623
10109,reintroduction,2022-07-21,900043000215624
10109,reintroduction,2022-07-21,900043000215631
10109,reintroduction,2022-07-21,900043000215638
10109,reintroduction,2022-07-21,900043000215639
10109,reintroduction,2022-07-21,900043000215643
10109,reintroduction,2022-07-21,900043000215650
10109,reintroduction,2022-07-21,900043000215666
10109,reintroduction,2022-07-21,900043000215667
10109,reintroduction,2022-07-21,900043000215668
10109,reintroduction,2022-07-21,900043000215672
10109,reintroduction,2022-07-21,900043000215687
10109,reintroduction,2022-07-21,900043000215689
10109,reintroduction,2022-07-21,900043000215822
10109,reintroduction,2022-07-21,900043000215827
10109,reintroduction,2022-07-21,900043000215832
10109,reintroduction,2022-07-21,900043000215839
10109,reintroduction,2022-07-21,900043000215845
10109,reintroduction,2022-07-21,900043000215846
10109,reintroduction,2022-07-21,900043000215849
10109,reintroduction,2022-07-21,900043000215851
10109,reintroduction,2022-07-21,900043000215853
10109,reintroduction,2022-07-21,900043000215866
10109,reintroduction,2022-07-21,900043000215888
10109,reintroduction,2022-07-21,900043000215894
10109,reintroduction,2022-07-21,900043000217164
10109,reintroduction,2022-07-21,900043000217179
10109,reintroduction,2022-07-21,900043000217187
10109,reintroduction,2022-07-21,900043000217205
10109,reintroduction,2022-07-21,900043000217210
10109,reintroduction,2022-07-21,900043000217211
10109,reintroduction,2022-07-21,900043000217212
10109,reintroduction,2022-07-21,900043000217213
10109,reintroduction,2022-07-21,900043000217223
10109,reintroduction,2022-07-21,900043000217224
10109,reintroduction,2022-07-21,900043000217225
10109,reintroduction,2022-07-21,900043000217236
10109,reintroduction,2022-07-21,900043000217241
10109,reintroduction,2022-07-21,900043000217245
10109,reintroduction,2022-07-21,900043000217251
10109,reintroduction,2022-07-21,900043000217254
10109,reintroduction,2022-07-21,900043000217256
10109,reintroduction,2022-07-21,900043000217265
10109,reintroduction,2022-07-21,900043000217268
10109,reintroduction,2022-07-21,900043000217269
10109,reintroduction,2022-07-21,900043000217271
10109,reintroduction,2022-07-21,900043000217274
10109,reintroduction,2022-07-21,900043000217275
10109,reintroduction,2022-07-21,900043000217280
10109,reintroduction,2022-07-21,900043000217281
10109,reintroduction,2022-07-21,900043000217290
10109,reintroduction,2022-07-21,900043000217291
10109,reintroduction,2022-07-21,900043000217293
