site_id,survey_date,survey_type,primary_period,secondary_period
10109,2021-07-28,release,1,0
10109,2022-07-18,cmr,2,1
10109,2022-07-19,cmr,2,2
10109,2022-07-20,cmr,2,3
10109,2022-07-21,release,3,0
10109,2023-08-25,cmr,4,1
10109,2023-08-26,cmr,4,2
10109,2023-08-28,release,5,0
10109,2024-07-15,cmr,6,1
10109,2024-07-16,cmr,6,2
10109,2024-07-17,cmr,6,3
10109,2024-07-19,release,7,0
10109,2024-09-06,cmr,8,1
10109,2024-09-07,cmr,8,2
10109,2025-08-08,cmr,9,1
10109,2025-08-09,cmr,9,2
10109,2025-08-10,cmr,9,3
10109,2026-07-14,cmr,10,1
10109,2026-07-15,cmr,10,2
10109,2026-07-16,cmr,10,3
10109,2026-07-17,release,11,0
10109,2026-08-15,cmr,12,1
10109,2026-08-16,cmr,12,2
10109,2026-08-17,cmr,12,3
