site_id,release_date,pit_tag_id,treatment
84235,2014-06-16,900043000104801,unexposed
84235,2014-06-16,900043000104803,exposed
84235,2014-06-16,900043000104805,unexposed
84235,2014-06-16,900043000104807,exposed
84235,2014-06-16,900043000104810,unexposed
84235,2014-06-16,900043000104816,exposed
84235,2014-06-16,900043000104818,unexposed
84235,2014-06-16,900043000104819,exposed
84235,2014-06-16,900043000104823,exposed
84235,2014-06-16,900043000104824,unexposed
84235,2014-06-16,900043000104831,exposed
84235,2014-06-16,900043000104832,unexposed
84235,2014-06-16,900043000104835,unexposed
84235,2014-06-16,900043000104837,exposed
84235,2014-06-16,900043000104838,exposed
84235,2014-06-16,900043000104840,unexposed
84235,2014-06-16,900043000104841,exposed
84235,2014-06-16,900043000104843,exposed
84235,2014-06-16,900043000104852,exposed
84235,2014-06-16,900043000104855,exposed
84235,2014-06-16,900043000104859,unexposed
84235,2014-06-16,900043000104862,exposed
84235,2014-06-16,900043000104867,unexposed
84235,2014-06-16,900043000104869,exposed
84235,2014-06-16,900043000104871,unexposed
84235,2014-06-16,900043000104875,exposed
84235,2014-06-16,900043000104879,exposed
84235,2014-06-16,900043000104880,exposed
84235,2014-06-16,900043000104884,exposed
84235,2014-06-16,900043000104887,unexposed
84235,2014-06-16,900043000104888,exposed
84235,2014-06-16,900043000104892,unexposed
84235,2014-06-16,900043000104893,unexposed
84235,2014-06-16,900043000104894,unexposed
84235,2014-06-16,900043000104897,exposed
84235,2015-06-15,900043000104804,exposed
84235,2015-06-15,900043000104829,exposed
84235,2015-06-15,900043000104833,unexposed
84235,2015-06-15,900043000104836,unexposed
84235,2015-06-15,900043000104853,exposed
84235,2015-06-15,900043000104856,exposed
84235,2015-06-15,900043000104873,exposed
84235,2015-06-15,900043000104885,unexposed
84235,2015-06-15,900043000104898,exposed
84235,2015-06-15,900067000060903,exposed
84235,2015-06-15,900067000060907,unexposed
84235,2015-06-15,900067000060921,unexposed
84235,2015-06-15,900067000060922,unexposed
84235,2015-06-15,900067000060923,unexposed
84235,2015-06-15,900067000060924,exposed
84235,2015-06-15,900067000060925,unexposed
84235,2015-06-15,900067000060934,exposed
84235,2015-06-15,900067000060936,unexposed
84235,2015-06-15,900067000060937,unexposed
84235,2015-06-15,900067000060943,exposed
84235,2015-06-15,900067000060948,exposed
84235,2015-06-15,900067000060950,exposed
84235,2015-06-15,900067000060954,exposed
84235,2015-06-15,900067000060964,exposed
84235,2015-06-15,900067000060967,exposed
84235,2015-06-15,900067000060972,exposed
84235,2015-06-15,900067000060983,exposed
84235,2015-06-15,900067000060985,unexposed
84235,2015-06-15,900067000060989,unexposed
84235,2015-06-15,900067000060990,unexposed
84235,2015-06-15,900067000060997,unexposed
84235,2015-06-15,900067000060999,exposed
84235,2015-06-15,900067000061012,unexposed
84235,2015-06-15,900067000061024,exposed
84235,2015-06-15,900067000061061,exposed
