site_id,release_date,pit_tag_id,bd_exposure
50183,2022-09-16,982091062745715,exposed
50183,2022-09-16,982091062745786,exposed
50183,2022-09-16,982091062745790,unexposed
50183,2022-09-16,982091062745802,unexposed
50183,2022-09-16,982091062745845,exposed
50183,2022-09-16,982091062745885,exposed
50183,2022-09-16,982091062745908,unexposed
50183,2022-09-16,982091062745939,unexposed
50183,2022-09-16,982091065244996,unexposed
50183,2022-09-16,982091065244933,exposed
50183,2022-09-16,982091068562998,unexposed
50183,2022-09-16,982091065244923,exposed
50183,2023-09-09,982091068034605,exposed
50183,2023-09-09,982091068535010,unexposed
50183,2023-09-09,982091068535197,unexposed
50183,2023-09-09,982091068539198,unexposed
50183,2023-09-09,982091068540457,unexposed
50183,2023-09-09,982091068540484,unexposed
50183,2023-09-09,982091068541864,exposed
50183,2023-09-09,982091068542106,exposed
50183,2023-09-09,982091068545764,unexposed
50183,2023-09-09,982091068545874,exposed
50183,2023-09-09,982091068547176,exposed
50183,2023-09-09,982091068548626,exposed
50183,2023-09-09,982091068548751,unexposed
50183,2023-09-09,982091068549680,exposed
50183,2023-09-09,982091068550883,unexposed
50183,2023-09-09,982091068551780,exposed
50183,2023-09-09,982091068551957,exposed
50183,2023-09-09,982091068552230,exposed
50183,2023-09-09,982091068554004,unexposed
50183,2023-09-09,982091068554152,unexposed
50183,2023-09-09,982091068558549,unexposed
50183,2023-09-09,982091068560049,exposed
50183,2023-09-09,982091068561631,exposed
50183,2023-09-09,982091068562032,unexposed
50183,2023-09-09,982091068563136,unexposed
50183,2023-09-09,982091068563399,unexposed
50183,2023-09-09,982091068563915,exposed
50183,2023-09-09,982091068563975,exposed
50183,2024-08-01,982091076711424,NA
50183,2024-08-01,982091076711371,NA
50183,2024-08-01,982091076711462,NA
50183,2024-08-01,982091076711438,NA
50183,2024-08-01,982091076711405,NA
50183,2024-08-01,982091076711459,NA
50183,2024-08-01,982091076711460,NA
50183,2024-08-01,982091076711381,NA
50183,2024-08-01,982091076711542,NA
50183,2024-08-01,982091076711375,NA
50183,2024-08-01,982091076711395,NA
50183,2024-08-01,982091076711449,NA
50183,2024-08-01,982091076711447,NA
50183,2024-08-01,982091076711383,NA
50183,2024-08-01,982091076711536,NA
50183,2024-08-01,982091076711403,NA
50183,2024-08-01,982091076711529,NA
50183,2024-08-01,982091076711422,NA
50183,2024-08-01,982091076711420,NA
50183,2024-08-01,982091076711398,NA
50183,2024-08-01,982091076711562,NA
50183,2024-08-01,982091076711416,NA
50183,2024-08-01,982091076711464,NA
50183,2024-08-01,982091076711532,NA
50183,2024-08-01,982091076711410,NA
50183,2024-08-01,982091076711522,NA
50183,2024-08-01,982091076711421,NA
50183,2024-08-01,982091076711508,NA
50183,2024-08-01,982091076711465,NA
50183,2024-08-01,982091076711428,NA
50183,2024-08-01,982091076711367,NA
50183,2024-08-01,982091076711510,NA
50183,2025-07-06,982091076711407,NA
50183,2025-07-06,982091076711544,NA
50183,2025-07-06,982091076711454,NA
50183,2025-07-06,982091076711457,NA
50183,2025-07-06,982091076711412,NA
50183,2025-07-06,982091076711528,NA
50183,2025-07-06,982091076711437,NA
50183,2025-07-06,982091076711382,NA
50183,2025-07-06,982091076711389,NA
50183,2025-07-06,982091076711392,NA
50183,2025-07-06,982091076711417,NA
50183,2025-07-06,982091076711441,NA
50183,2025-07-06,982091076711374,NA
50183,2025-07-06,982091076711406,NA
50183,2025-07-06,982091076711411,NA
50183,2025-07-06,982091076711433,NA
50183,2025-07-06,982091076711466,NA
50183,2025-07-06,982091076711463,NA
50183,2025-07-06,982091076711396,NA
50183,2025-07-06,982091076711401,NA
50183,2025-07-06,982091076711439,NA
50183,2025-07-06,982091076711558,NA
50183,2025-07-06,982091076711547,NA
50183,2025-07-06,982091076711419,NA
50183,2025-07-06,982091076711397,NA
50183,2025-07-06,982091076711435,NA
50183,2025-07-06,982091076711384,NA
50183,2025-07-06,982091076711444,NA
50183,2025-07-06,982091076711504,NA
50183,2025-07-06,982091076711429,NA
50183,2025-07-06,982091076711379,NA
50183,2025-07-06,982091076711377,NA
50183,2025-07-06,982091076711413,NA
50183,2025-07-06,982091076711461,NA
50183,2025-07-06,982091076711442,NA
50183,2025-07-06,982091076711451,NA
50183,2025-07-06,982091076711387,NA
50183,2025-07-06,982091076711414,NA
50183,2025-07-06,982091076711452,NA
50183,2025-07-06,982091076711426,NA
50183,2025-07-06,982091076711443,NA
