site_id,survey_date,pit_tag_id,bd_load,treatment
22008,2016-06-21,900067000078040,21360,wild
22008,2016-06-22,900067000078040,NA,wild
22008,2016-06-22,900067000078193,12960,wild
22008,2016-06-22,900067000114405,0,wild
22008,2016-06-22,900067000114455,0,wild
22008,2016-06-23,900067000078040,NA,wild
22008,2016-06-23,900067000114405,NA,wild
22008,2016-06-23,900067000114422,3360,wild
22008,2016-06-24,900067000078040,NA,wild
22008,2016-06-24,900067000114422,NA,wild
22008,2016-06-25,900067000078040,NA,wild
22008,2016-06-25,900067000078067,200640,wild
22008,2016-06-25,900067000114422,NA,wild
22008,2016-06-25,900067000114455,NA,wild
22008,2016-06-26,900067000078040,NA,wild
22008,2016-06-26,900067000078067,NA,wild
22008,2016-06-26,900067000114405,NA,wild
22008,2016-06-27,900067000078193,NA,wild
22008,2016-06-27,900067000078328,151520,wild
22008,2016-07-19,900067000078067,492395.976,wild
22008,2016-07-19,900067000089683,NA,exposed
22008,2016-07-19,900067000114448,9945.44,wild
22008,2016-07-20,900067000078067,NA,wild
22008,2016-07-20,900067000114448,NA,wild
22008,2016-07-21,900067000078067,NA,wild
22008,2016-07-21,900067000089652,NA,exposed
22008,2016-07-21,900067000114448,NA,wild
22008,2016-07-22,900067000078193,53589.72,wild
22008,2016-07-22,900067000114448,NA,wild
22008,2016-07-23,900067000078067,NA,wild
22008,2016-07-23,900067000089683,NA,exposed
22008,2016-07-23,900067000089755,NA,unexposed
22008,2016-07-23,900067000114846,4025.672,wild
22008,2016-07-24,900067000078328,555737.824,wild
22008,2016-07-24,900067000114867,193511.696,wild
22008,2016-08-14,900067000078067,340059.064,wild
22008,2016-08-14,900067000089652,17157.808,exposed
22008,2016-08-14,900067000089680,108226.272,exposed
22008,2016-08-14,900067000089755,4869.544,unexposed
22008,2016-08-14,900067000089846,13321.4,unexposed
22008,2016-08-14,900067000089874,22418.96,unexposed
22008,2016-08-14,900067000089965,23138.792,exposed
22008,2016-08-14,900067000089993,196558.328,exposed
22008,2016-08-14,900067000114405,107467.4,wild
22008,2016-08-14,900067000114448,48247.8,wild
22008,2016-08-14,900067000114846,28045.744,wild
22008,2016-08-15,900067000089639,4599.336,unexposed
22008,2016-08-15,900067000089652,NA,exposed
22008,2016-08-15,900067000089680,NA,exposed
22008,2016-08-15,900067000089741,7102.144,exposed
22008,2016-08-15,900067000089874,NA,unexposed
22008,2016-08-15,900067000089943,4815.48,exposed
22008,2016-08-15,900067000089993,NA,exposed
22008,2016-08-15,900067000114448,NA,wild
22008,2016-08-15,900067000114867,0,wild
22008,2016-08-16,900067000078067,NA,wild
22008,2016-08-16,900067000078328,302058.912,wild
22008,2016-08-16,900067000089560,14225.512,unexposed
22008,2016-08-16,900067000089680,NA,exposed
22008,2016-08-16,900067000089683,6013.664,exposed
22008,2016-08-16,900067000089741,NA,exposed
22008,2016-08-16,900067000089803,11493.088,exposed
22008,2016-08-16,900067000089837,3920.36,unexposed
22008,2016-08-16,900067000089846,NA,unexposed
22008,2016-08-16,900067000089874,NA,unexposed
22008,2016-08-16,900067000089900,3978.4,exposed
22008,2016-08-16,900067000089965,NA,exposed
22008,2016-08-16,900067000089993,NA,exposed
22008,2016-08-16,900067000114405,NA,wild
22008,2016-08-16,900067000114448,NA,wild
22008,2016-08-16,900067000114846,NA,wild
22008,2016-08-16,900067000114867,NA,wild
22008,2016-08-16,900067000114873,22959.112,wild
22019,2016-08-17,900067000114872,49499.864,wild
22008,2016-09-07,900067000078067,136371.424,wild
22008,2016-09-07,900067000078193,1488799.016,wild
22008,2016-09-07,900067000078328,580679.52,wild
22008,2016-09-07,900067000089639,5972.976,unexposed
22008,2016-09-07,900067000089652,922.96,exposed
22008,2016-09-07,900067000089704,31888.16,exposed
22008,2016-09-07,900067000089724,117541.44,exposed
22008,2016-09-07,900067000089741,7764.592,exposed
22008,2016-09-07,900067000089846,0,unexposed
22008,2016-09-07,900067000089874,8717.504,unexposed
22008,2016-09-07,900067000089993,1993314.576,exposed
22008,2016-09-07,900067000114784,26963.816,wild
22008,2016-09-07,900067000114823,25850.12,wild
22008,2016-09-08,900067000089636,3325.848,exposed
22008,2016-09-08,900067000089652,NA,exposed
22008,2016-09-08,900067000089680,2221.96,exposed
22008,2016-09-08,900067000089704,NA,exposed
22008,2016-09-08,900067000089741,NA,exposed
22008,2016-09-08,900067000089755,0,unexposed
22008,2016-09-08,900067000089829,446.232,exposed
22008,2016-09-08,900067000089900,2530.52,exposed
22008,2016-09-08,900067000089965,4311.272,exposed
22008,2016-09-08,900067000089993,NA,exposed
22008,2016-09-08,900067000114811,18685.688,wild
22008,2016-09-09,900067000078193,NA,wild
22008,2016-09-09,900067000078328,NA,wild
22008,2016-09-09,900067000089652,NA,exposed
22008,2016-09-09,900067000089680,NA,exposed
22008,2016-09-09,900067000089704,NA,exposed
22008,2016-09-09,900067000089741,NA,exposed
22008,2016-09-09,900067000089755,NA,unexposed
22008,2016-09-09,900067000089846,NA,unexposed
22008,2016-09-09,900067000089874,NA,unexposed
22008,2016-09-09,900067000089965,NA,exposed
22008,2016-09-09,900067000114448,43961.928,wild
22008,2016-09-09,900067000114811,NA,wild
22008,2017-08-08,900067000089520,7096.08,unexposed
22008,2017-08-08,900067000089593,3412.6,exposed
22008,2017-08-08,900067000089652,2644.944,exposed
22008,2017-08-08,900067000089676,102.28,exposed
22008,2017-08-08,900067000089680,79175.448,exposed
22008,2017-08-08,900067000089709,421.416,exposed
22008,2017-08-08,900067000089755,0,unexposed
22008,2017-08-08,900067000089829,787.568,exposed
22008,2017-08-08,900067000089837,2933.52,unexposed
22008,2017-08-08,900067000089900,108.44,exposed
22008,2017-08-08,900067000089965,0,exposed
22008,2017-08-08,900067000114405,4586.448,wild
22008,2017-08-09,900067000089560,0,unexposed
22008,2017-08-09,900067000089593,NA,exposed
22008,2017-08-09,900067000089636,1337.232,exposed
22008,2017-08-09,900067000089652,NA,exposed
22008,2017-08-09,900067000089676,NA,exposed
22008,2017-08-09,900067000089680,NA,exposed
22008,2017-08-09,900067000089704,0,exposed
22008,2017-08-09,900067000089709,NA,exposed
22008,2017-08-09,900067000089741,0,exposed
22008,2017-08-09,900067000089755,NA,unexposed
22008,2017-08-09,900067000089780,0,exposed
22008,2017-08-09,900067000089829,NA,exposed
22008,2017-08-09,900067000089837,NA,unexposed
22008,2017-08-09,900067000089900,NA,exposed
22008,2017-08-09,900067000089965,NA,exposed
22008,2017-08-09,900067000114405,NA,wild
22008,2017-08-10,900067000089560,NA,unexposed
22008,2017-08-10,900067000089636,NA,exposed
22008,2017-08-10,900067000089652,NA,exposed
22008,2017-08-10,900067000089676,NA,exposed
22008,2017-08-10,900067000089704,NA,exposed
22008,2017-08-10,900067000089709,NA,exposed
22008,2017-08-10,900067000089741,NA,exposed
22008,2017-08-10,900067000089751,1060.888,exposed
22008,2017-08-10,900067000089755,NA,unexposed
22008,2017-08-10,900067000089780,NA,exposed
22008,2017-08-10,900067000089800,303.416,exposed
22008,2017-08-10,900067000089829,NA,exposed
22008,2017-08-10,900067000089837,NA,unexposed
22008,2017-08-10,900067000089965,NA,exposed
22008,2017-08-10,900067000114405,NA,wild
22008,2017-09-12,900067000089560,255294.4,unexposed
22008,2017-09-12,900067000089636,519451.2,exposed
22008,2017-09-12,900067000089652,118283.6,exposed
22008,2017-09-12,900067000089680,278370.48,exposed
22008,2017-09-12,900067000089709,9374.56,exposed
22008,2017-09-12,900067000089755,3418.16,unexposed
22008,2017-09-12,900067000089780,18597.848,exposed
22008,2017-09-12,900067000089829,259553.68,exposed
22008,2017-09-12,900067000089900,8591.336,exposed
22008,2017-09-12,900067000089965,3674.952,exposed
22008,2017-09-12,900067000114405,15395.76,wild
22008,2017-09-13,900067000089520,497138.48,unexposed
22008,2017-09-13,900067000089526,17690.52,exposed
22008,2017-09-13,900067000089560,NA,unexposed
22008,2017-09-13,900067000089636,NA,exposed
22008,2017-09-13,900067000089676,26589.856,exposed
22008,2017-09-13,900067000089680,NA,exposed
22008,2017-09-13,900067000089709,NA,exposed
22008,2017-09-13,900067000089741,3684.44,exposed
22008,2017-09-13,900067000089751,13177.248,exposed
22008,2017-09-13,900067000089755,NA,unexposed
22008,2017-09-13,900067000089780,NA,exposed
22008,2017-09-13,900067000089800,32513.696,exposed
22008,2017-09-13,900067000089837,59466.416,unexposed
22008,2017-09-13,900067000089900,NA,exposed
22008,2017-09-13,900067000089965,NA,exposed
22008,2017-09-13,900067000089985,14277.192,unexposed
22008,2017-09-14,900067000089520,NA,unexposed
22008,2017-09-14,900067000089526,NA,exposed
22008,2017-09-14,900067000089593,5450.472,exposed
22008,2017-09-14,900067000089636,NA,exposed
22008,2017-09-14,900067000089676,NA,exposed
22008,2017-09-14,900067000089680,NA,exposed
22008,2017-09-14,900067000089709,NA,exposed
22008,2017-09-14,900067000089741,NA,exposed
22008,2017-09-14,900067000089751,NA,exposed
22008,2017-09-14,900067000089753,0,unexposed
22008,2017-09-14,900067000089755,NA,unexposed
22008,2017-09-14,900067000089780,NA,exposed
22008,2017-09-14,900067000089837,NA,unexposed
22008,2017-09-14,900067000089900,NA,exposed
22008,2017-09-14,900067000089965,NA,exposed
22008,2017-09-14,900067000089985,NA,unexposed
22008,2017-09-14,900067000089987,4234.984,exposed
22008,2017-09-14,900067000114823,23616.744,wild
22008,2017-09-14,900067000114846,207652.64,wild
22008,2018-06-28,900067000089528,0,exposed
22008,2018-06-28,900067000089581,62246.904,exposed
22008,2018-06-28,900067000089652,24694.632,exposed
22008,2018-06-28,900067000089676,636.024,exposed
22008,2018-06-28,900067000089709,630.528,exposed
22008,2018-06-28,900067000089755,540.96,unexposed
22008,2018-06-28,900067000089780,2351.624,exposed
22008,2018-06-28,900067000089837,8241.176,unexposed
22008,2018-06-28,900067000089965,0,exposed
22008,2018-06-28,900067000089985,123.36,unexposed
22008,2018-06-28,982000410163511,0,exposed
22008,2018-06-29,900067000089528,NA,exposed
22008,2018-06-29,900067000089581,NA,exposed
22008,2018-06-29,900067000089676,NA,exposed
22008,2018-06-29,900067000089709,NA,exposed
22008,2018-06-29,900067000089730,0,exposed
22008,2018-06-29,900067000089755,NA,unexposed
22008,2018-06-29,900067000089780,NA,exposed
22008,2018-06-29,900067000089837,NA,unexposed
22008,2018-06-29,900067000089900,17031.04,exposed
