site_id,type,release_date,pit_tag_id,treatment
20135,reintroduction,2016-07-18,900067000089501,exposed
20135,reintroduction,2016-07-18,900067000089508,exposed
20135,reintroduction,2016-07-18,900067000089511,exposed
20135,reintroduction,2016-07-18,900067000089514,exposed
20135,reintroduction,2016-07-18,900067000089515,unexposed
20135,reintroduction,2016-07-18,900067000089519,exposed
20135,reintroduction,2016-07-18,900067000089521,exposed
20135,reintroduction,2016-07-18,900067000089524,unexposed
20135,reintroduction,2016-07-18,900067000089537,unexposed
20135,reintroduction,2016-07-18,900067000089548,exposed
20135,reintroduction,2016-07-18,900067000089551,exposed
20135,reintroduction,2016-07-18,900067000089556,unexposed
20135,reintroduction,2016-07-18,900067000089557,unexposed
20135,reintroduction,2016-07-18,900067000089563,exposed
20135,reintroduction,2016-07-18,900067000089567,exposed
20135,reintroduction,2016-07-18,900067000089586,unexposed
20135,reintroduction,2016-07-18,900067000089587,unexposed
20135,reintroduction,2016-07-18,900067000089595,unexposed
20135,reintroduction,2016-07-18,900067000089597,unexposed
20135,reintroduction,2016-07-18,900067000089601,unexposed
20135,reintroduction,2016-07-18,900067000089609,unexposed
20135,reintroduction,2016-07-18,900067000089612,exposed
20135,reintroduction,2016-07-18,900067000089618,exposed
20135,reintroduction,2016-07-18,900067000089625,exposed
20135,reintroduction,2016-07-18,900067000089635,exposed
20135,reintroduction,2016-07-18,900067000089647,exposed
20135,reintroduction,2016-07-18,900067000089656,exposed
20135,reintroduction,2016-07-18,900067000089665,exposed
20135,reintroduction,2016-07-18,900067000089667,exposed
20135,reintroduction,2016-07-18,900067000089675,exposed
20135,reintroduction,2016-07-18,900067000089687,exposed
20135,reintroduction,2016-07-18,900067000089689,exposed
20135,reintroduction,2016-07-18,900067000089693,exposed
20135,reintroduction,2016-07-18,900067000089698,exposed
20135,reintroduction,2016-07-18,900067000089703,exposed
20135,reintroduction,2016-07-18,900067000089707,exposed
20135,reintroduction,2016-07-18,900067000089715,exposed
20135,reintroduction,2016-07-18,900067000089720,unexposed
20135,reintroduction,2016-07-18,900067000089721,unexposed
20135,reintroduction,2016-07-18,900067000089722,exposed
20135,reintroduction,2016-07-18,900067000089726,exposed
20135,reintroduction,2016-07-18,900067000089737,unexposed
20135,reintroduction,2016-07-18,900067000089739,exposed
20135,reintroduction,2016-07-18,900067000089762,exposed
20135,reintroduction,2016-07-18,900067000089767,exposed
20135,reintroduction,2016-07-18,900067000089772,exposed
20135,reintroduction,2016-07-18,900067000089773,exposed
20135,reintroduction,2016-07-18,900067000089781,exposed
20135,reintroduction,2016-07-18,900067000089787,exposed
20135,reintroduction,2016-07-18,900067000089789,unexposed
20135,reintroduction,2016-07-18,900067000089791,exposed
20135,reintroduction,2016-07-18,900067000089792,exposed
