site_id,survey_date,pit_tag_id,sex,category
22008,2016-06-21,900067000078040,f,resident
22008,2016-06-22,900067000078040,f,resident
22008,2016-06-22,900067000078193,m,resident
22008,2016-06-22,900067000114405,m,resident
22008,2016-06-22,900067000114455,m,resident
22008,2016-06-23,900067000078040,f,resident
22008,2016-06-23,900067000114405,m,resident
22008,2016-06-23,900067000114422,m,resident
22008,2016-06-24,900067000078040,f,resident
22008,2016-06-24,900067000114422,m,resident
22008,2016-06-25,900067000078040,f,resident
22008,2016-06-25,900067000078067,m,resident
22008,2016-06-25,900067000114422,m,resident
22008,2016-06-25,900067000114455,m,resident
22008,2016-06-26,900067000078040,f,resident
22008,2016-06-26,900067000078067,m,resident
22008,2016-06-26,900067000114405,m,resident
22008,2016-06-27,900067000078193,m,resident
22008,2016-06-27,900067000078328,m,resident
22008,2016-07-19,900067000078067,m,resident
22008,2016-07-19,900067000089683,m,exposed
22008,2016-07-19,900067000114448,m,resident
22008,2016-07-20,900067000078067,m,resident
22008,2016-07-20,900067000114448,m,resident
22008,2016-07-21,900067000078067,m,resident
22008,2016-07-21,900067000089652,m,exposed
22008,2016-07-21,900067000114448,m,resident
22008,2016-07-22,900067000078193,m,resident
22008,2016-07-22,900067000114448,m,resident
22008,2016-07-23,900067000078067,m,resident
22008,2016-07-23,900067000089683,m,exposed
22008,2016-07-23,900067000089755,f,unexposed
22008,2016-07-23,900067000114846,m,resident
22008,2016-07-24,900067000078328,m,resident
22008,2016-07-24,900067000114867,f,resident
22008,2016-08-14,900067000078067,m,resident
22008,2016-08-14,900067000089652,m,exposed
22008,2016-08-14,900067000089680,f,exposed
22008,2016-08-14,900067000089755,f,unexposed
22008,2016-08-14,900067000089846,f,unexposed
22008,2016-08-14,900067000089874,f,unexposed
22008,2016-08-14,900067000089965,f,exposed
22008,2016-08-14,900067000089993,f,exposed
22008,2016-08-14,900067000114405,m,resident
22008,2016-08-14,900067000114448,m,resident
22008,2016-08-14,900067000114846,m,resident
22008,2016-08-15,900067000089639,f,unexposed
22008,2016-08-15,900067000089652,m,exposed
22008,2016-08-15,900067000089680,f,exposed
22008,2016-08-15,900067000089741,f,exposed
22008,2016-08-15,900067000089874,f,unexposed
22008,2016-08-15,900067000089943,m,exposed
22008,2016-08-15,900067000089993,f,exposed
22008,2016-08-15,900067000114448,m,resident
22008,2016-08-15,900067000114867,f,resident
22008,2016-08-16,900067000078067,m,resident
22008,2016-08-16,900067000078328,m,resident
22008,2016-08-16,900067000089560,f,unexposed
22008,2016-08-16,900067000089680,f,exposed
22008,2016-08-16,900067000089683,m,exposed
22008,2016-08-16,900067000089741,f,exposed
22008,2016-08-16,900067000089803,f,exposed
22008,2016-08-16,900067000089837,m,unexposed
22008,2016-08-16,900067000089846,f,unexposed
22008,2016-08-16,900067000089874,f,unexposed
22008,2016-08-16,900067000089900,m,exposed
22008,2016-08-16,900067000089965,f,exposed
22008,2016-08-16,900067000089993,f,exposed
22008,2016-08-16,900067000114405,m,resident
22008,2016-08-16,900067000114448,m,resident
22008,2016-08-16,900067000114846,m,resident
22008,2016-08-16,900067000114867,f,resident
22008,2016-08-16,900067000114873,m,resident
22008,2016-09-07,900067000078067,m,resident
22008,2016-09-07,900067000078193,m,resident
22008,2016-09-07,900067000078328,m,resident
22008,2016-09-07,900067000089639,f,unexposed
22008,2016-09-07,900067000089652,m,exposed
22008,2016-09-07,900067000089704,f,exposed
22008,2016-09-07,900067000089724,f,exposed
22008,2016-09-07,900067000089741,f,exposed
22008,2016-09-07,900067000089846,f,unexposed
22008,2016-09-07,900067000089874,f,unexposed
22008,2016-09-07,900067000089993,f,exposed
22008,2016-09-07,900067000114784,f,resident
22008,2016-09-07,900067000114823,m,resident
22008,2016-09-08,900067000089636,f,exposed
22008,2016-09-08,900067000089652,m,exposed
22008,2016-09-08,900067000089680,f,exposed
22008,2016-09-08,900067000089704,f,exposed
22008,2016-09-08,900067000089741,f,exposed
22008,2016-09-08,900067000089755,f,unexposed
22008,2016-09-08,900067000089829,m,exposed
22008,2016-09-08,900067000089900,m,exposed
22008,2016-09-08,900067000089965,f,exposed
22008,2016-09-08,900067000089993,f,exposed
22008,2016-09-08,900067000114811,f,resident
22008,2016-09-09,900067000078193,m,resident
22008,2016-09-09,900067000078328,m,resident
22008,2016-09-09,900067000089652,m,exposed
22008,2016-09-09,900067000089680,f,exposed
22008,2016-09-09,900067000089704,f,exposed
22008,2016-09-09,900067000089741,f,exposed
22008,2016-09-09,900067000089755,f,unexposed
22008,2016-09-09,900067000089846,f,unexposed
22008,2016-09-09,900067000089874,f,unexposed
22008,2016-09-09,900067000089965,f,exposed
22008,2016-09-09,900067000114448,m,resident
22008,2016-09-09,900067000114811,f,resident
22008,2017-08-08,900067000089520,m,unexposed
22008,2017-08-08,900067000089593,f,exposed
22008,2017-08-08,900067000089652,m,exposed
22008,2017-08-08,900067000089676,m,exposed
22008,2017-08-08,900067000089680,f,exposed
22008,2017-08-08,900067000089709,m,exposed
22008,2017-08-08,900067000089755,f,unexposed
22008,2017-08-08,900067000089829,m,exposed
22008,2017-08-08,900067000089837,m,unexposed
22008,2017-08-08,900067000089900,m,exposed
22008,2017-08-08,900067000089965,f,exposed
22008,2017-08-08,900067000114405,m,resident
22008,2017-08-09,900067000089560,f,unexposed
22008,2017-08-09,900067000089593,f,exposed
22008,2017-08-09,900067000089636,f,exposed
22008,2017-08-09,900067000089652,m,exposed
22008,2017-08-09,900067000089676,m,exposed
22008,2017-08-09,900067000089680,f,exposed
22008,2017-08-09,900067000089704,f,exposed
22008,2017-08-09,900067000089709,m,exposed
22008,2017-08-09,900067000089741,f,exposed
22008,2017-08-09,900067000089755,f,unexposed
22008,2017-08-09,900067000089780,m,exposed
22008,2017-08-09,900067000089829,m,exposed
22008,2017-08-09,900067000089837,m,unexposed
22008,2017-08-09,900067000089900,m,exposed
22008,2017-08-09,900067000089965,f,exposed
22008,2017-08-09,900067000114405,m,resident
22008,2017-08-10,900067000089560,f,unexposed
22008,2017-08-10,900067000089636,f,exposed
22008,2017-08-10,900067000089652,m,exposed
22008,2017-08-10,900067000089676,m,exposed
22008,2017-08-10,900067000089704,f,exposed
22008,2017-08-10,900067000089709,m,exposed
22008,2017-08-10,900067000089741,f,exposed
22008,2017-08-10,900067000089751,m,exposed
22008,2017-08-10,900067000089755,f,unexposed
22008,2017-08-10,900067000089780,m,exposed
22008,2017-08-10,900067000089800,m,exposed
22008,2017-08-10,900067000089829,m,exposed
22008,2017-08-10,900067000089837,m,unexposed
22008,2017-08-10,900067000089965,f,exposed
22008,2017-08-10,900067000114405,m,resident
22008,2017-09-12,900067000089560,f,unexposed
22008,2017-09-12,900067000089636,f,exposed
22008,2017-09-12,900067000089652,m,exposed
22008,2017-09-12,900067000089680,f,exposed
22008,2017-09-12,900067000089709,m,exposed
22008,2017-09-12,900067000089755,f,unexposed
22008,2017-09-12,900067000089780,m,exposed
22008,2017-09-12,900067000089829,m,exposed
22008,2017-09-12,900067000089900,m,exposed
22008,2017-09-12,900067000089965,f,exposed
22008,2017-09-12,900067000114405,m,resident
22008,2017-09-13,900067000089520,m,unexposed
22008,2017-09-13,900067000089526,f,exposed
22008,2017-09-13,900067000089560,f,unexposed
22008,2017-09-13,900067000089636,f,exposed
22008,2017-09-13,900067000089676,m,exposed
22008,2017-09-13,900067000089680,f,exposed
22008,2017-09-13,900067000089709,m,exposed
22008,2017-09-13,900067000089741,f,exposed
22008,2017-09-13,900067000089751,m,exposed
22008,2017-09-13,900067000089755,f,unexposed
22008,2017-09-13,900067000089780,m,exposed
22008,2017-09-13,900067000089800,m,exposed
22008,2017-09-13,900067000089837,m,unexposed
22008,2017-09-13,900067000089900,m,exposed
22008,2017-09-13,900067000089965,f,exposed
22008,2017-09-13,900067000089985,m,unexposed
22008,2017-09-14,900067000089520,m,unexposed
22008,2017-09-14,900067000089526,f,exposed
22008,2017-09-14,900067000089593,f,exposed
22008,2017-09-14,900067000089636,f,exposed
22008,2017-09-14,900067000089676,m,exposed
22008,2017-09-14,900067000089680,f,exposed
22008,2017-09-14,900067000089709,m,exposed
22008,2017-09-14,900067000089741,f,exposed
22008,2017-09-14,900067000089751,m,exposed
22008,2017-09-14,900067000089753,m,unexposed
22008,2017-09-14,900067000089755,f,unexposed
22008,2017-09-14,900067000089780,m,exposed
22008,2017-09-14,900067000089837,m,unexposed
22008,2017-09-14,900067000089900,m,exposed
22008,2017-09-14,900067000089965,f,exposed
22008,2017-09-14,900067000089985,m,unexposed
22008,2017-09-14,900067000089987,m,exposed
22008,2017-09-14,900067000114823,m,resident
22008,2017-09-14,900067000114846,m,resident
22008,2018-06-28,900067000089528,f,exposed
22008,2018-06-28,900067000089581,f,exposed
22008,2018-06-28,900067000089652,m,exposed
22008,2018-06-28,900067000089676,m,exposed
22008,2018-06-28,900067000089709,m,exposed
22008,2018-06-28,900067000089755,f,unexposed
22008,2018-06-28,900067000089780,m,exposed
22008,2018-06-28,900067000089837,m,unexposed
22008,2018-06-28,900067000089965,f,exposed
22008,2018-06-28,900067000089985,m,unexposed
