site_id,survey_date,survey_type,primary_period,secondary_period
20135,2016-07-18,reintroduction,1,0
20135,2016-08-14,cmr,2,1
20135,2016-08-15,cmr,2,2
20135,2016-08-16,cmr,2,3
20135,2016-08-17,cmr,2,4
20135,2016-09-06,cmr,3,1
20135,2016-09-07,cmr,3,2
20135,2016-09-08,cmr,3,3
20135,2017-08-08,cmr,4,1
20135,2017-08-09,cmr,4,2
20135,2017-08-10,cmr,4,3
20135,2017-08-15,reintroduction,5,0
20135,2017-09-08,cmr,6,1
20135,2017-09-09,cmr,6,2
20135,2017-09-10,cmr,6,3
20135,2018-06-28,cmr,7,1
20135,2018-06-29,cmr,7,2
20135,2018-06-30,cmr,7,3
20135,2018-09-03,cmr,8,1
20135,2018-09-04,cmr,8,2
20135,2018-09-05,cmr,8,3
20135,2019-08-19,cmr,9,1
20135,2019-08-20,cmr,9,2
20135,2019-08-21,cmr,9,3
20135,2020-07-14,cmr,10,1
20135,2020-07-15,cmr,10,2
20135,2021-07-22,cmr,11,1
20135,2021-07-23,cmr,11,2
20135,2022-06-17,cmr,12,1
20135,2022-06-18,cmr,12,2
