site_id,survey_date,pit_tag_id,treatment
22008,2016-06-21,900067000078040,wild
22008,2016-06-22,900067000078040,wild
22008,2016-06-22,900067000078193,wild
22008,2016-06-22,900067000114405,wild
22008,2016-06-22,900067000114455,wild
22008,2016-06-23,900067000078040,wild
22008,2016-06-23,900067000114405,wild
22008,2016-06-23,900067000114422,wild
22008,2016-06-24,900067000078040,wild
22008,2016-06-24,900067000114422,wild
22008,2016-06-25,900067000078040,wild
22008,2016-06-25,900067000078067,wild
22008,2016-06-25,900067000114422,wild
22008,2016-06-25,900067000114455,wild
22008,2016-06-26,900067000078040,wild
22008,2016-06-26,900067000078067,wild
22008,2016-06-26,900067000114405,wild
22008,2016-06-27,900067000078193,wild
22008,2016-06-27,900067000078328,wild
22008,2016-07-19,900067000078067,wild
22008,2016-07-19,900067000089683,exposed
22008,2016-07-19,900067000114448,wild
22008,2016-07-20,900067000078067,wild
22008,2016-07-20,900067000114448,wild
22008,2016-07-21,900067000078067,wild
22008,2016-07-21,900067000089652,exposed
22008,2016-07-21,900067000114448,wild
22008,2016-07-22,900067000078193,wild
22008,2016-07-22,900067000114448,wild
22008,2016-07-23,900067000078067,wild
22008,2016-07-23,900067000089683,exposed
22008,2016-07-23,900067000089755,unexposed
22008,2016-07-23,900067000114846,wild
22008,2016-07-24,900067000078328,wild
22008,2016-07-24,900067000114867,wild
22008,2016-08-14,900067000078067,wild
22008,2016-08-14,900067000089652,exposed
22008,2016-08-14,900067000089680,exposed
22008,2016-08-14,900067000089755,unexposed
22008,2016-08-14,900067000089846,unexposed
22008,2016-08-14,900067000089874,unexposed
22008,2016-08-14,900067000089965,exposed
22008,2016-08-14,900067000089993,exposed
22008,2016-08-14,900067000114405,wild
22008,2016-08-14,900067000114448,wild
22008,2016-08-14,900067000114846,wild
22008,2016-08-15,900067000089639,unexposed
22008,2016-08-15,900067000089652,exposed
22008,2016-08-15,900067000089680,exposed
22008,2016-08-15,900067000089741,exposed
22008,2016-08-15,900067000089874,unexposed
22008,2016-08-15,900067000089943,exposed
22008,2016-08-15,900067000089993,exposed
22008,2016-08-15,900067000114448,wild
22008,2016-08-15,900067000114867,wild
22008,2016-08-16,900067000078067,wild
22008,2016-08-16,900067000078328,wild
22008,2016-08-16,900067000089560,unexposed
22008,2016-08-16,900067000089680,exposed
22008,2016-08-16,900067000089683,exposed
22008,2016-08-16,900067000089741,exposed
22008,2016-08-16,900067000089803,exposed
22008,2016-08-16,900067000089837,unexposed
22008,2016-08-16,900067000089846,unexposed
22008,2016-08-16,900067000089874,unexposed
22008,2016-08-16,900067000089900,exposed
22008,2016-08-16,900067000089965,exposed
22008,2016-08-16,900067000089993,exposed
22008,2016-08-16,900067000114405,wild
22008,2016-08-16,900067000114448,wild
22008,2016-08-16,900067000114846,wild
22008,2016-08-16,900067000114867,wild
22008,2016-08-16,900067000114873,wild
22019,2016-08-17,900067000114872,wild
22008,2016-09-07,900067000078067,wild
22008,2016-09-07,900067000078193,wild
22008,2016-09-07,900067000078328,wild
22008,2016-09-07,900067000089639,unexposed
22008,2016-09-07,900067000089652,exposed
22008,2016-09-07,900067000089704,exposed
22008,2016-09-07,900067000089724,exposed
22008,2016-09-07,900067000089741,exposed
22008,2016-09-07,900067000089846,unexposed
22008,2016-09-07,900067000089874,unexposed
22008,2016-09-07,900067000089993,exposed
22008,2016-09-07,900067000114784,wild
22008,2016-09-07,900067000114823,wild
22008,2016-09-08,900067000089636,exposed
22008,2016-09-08,900067000089652,exposed
22008,2016-09-08,900067000089680,exposed
22008,2016-09-08,900067000089704,exposed
22008,2016-09-08,900067000089741,exposed
22008,2016-09-08,900067000089755,unexposed
22008,2016-09-08,900067000089829,exposed
22008,2016-09-08,900067000089900,exposed
22008,2016-09-08,900067000089965,exposed
22008,2016-09-08,900067000089993,exposed
22008,2016-09-08,900067000114811,wild
22008,2016-09-09,900067000078193,wild
22008,2016-09-09,900067000078328,wild
22008,2016-09-09,900067000089652,exposed
22008,2016-09-09,900067000089680,exposed
22008,2016-09-09,900067000089704,exposed
22008,2016-09-09,900067000089741,exposed
22008,2016-09-09,900067000089755,unexposed
22008,2016-09-09,900067000089846,unexposed
22008,2016-09-09,900067000089874,unexposed
22008,2016-09-09,900067000089965,exposed
22008,2016-09-09,900067000114448,wild
22008,2016-09-09,900067000114811,wild
22008,2017-08-08,900067000089520,unexposed
22008,2017-08-08,900067000089593,exposed
22008,2017-08-08,900067000089652,exposed
22008,2017-08-08,900067000089676,exposed
22008,2017-08-08,900067000089680,exposed
22008,2017-08-08,900067000089709,exposed
22008,2017-08-08,900067000089755,unexposed
22008,2017-08-08,900067000089829,exposed
22008,2017-08-08,900067000089837,unexposed
22008,2017-08-08,900067000089900,exposed
22008,2017-08-08,900067000089965,exposed
22008,2017-08-08,900067000114405,wild
22008,2017-08-09,900067000089560,unexposed
22008,2017-08-09,900067000089593,exposed
22008,2017-08-09,900067000089636,exposed
22008,2017-08-09,900067000089652,exposed
22008,2017-08-09,900067000089676,exposed
22008,2017-08-09,900067000089680,exposed
22008,2017-08-09,900067000089704,exposed
22008,2017-08-09,900067000089709,exposed
22008,2017-08-09,900067000089741,exposed
22008,2017-08-09,900067000089755,unexposed
22008,2017-08-09,900067000089780,exposed
22008,2017-08-09,900067000089829,exposed
22008,2017-08-09,900067000089837,unexposed
22008,2017-08-09,900067000089900,exposed
22008,2017-08-09,900067000089965,exposed
22008,2017-08-09,900067000114405,wild
22008,2017-08-10,900067000089560,unexposed
22008,2017-08-10,900067000089636,exposed
22008,2017-08-10,900067000089652,exposed
22008,2017-08-10,900067000089676,exposed
22008,2017-08-10,900067000089704,exposed
22008,2017-08-10,900067000089709,exposed
22008,2017-08-10,900067000089741,exposed
22008,2017-08-10,900067000089751,exposed
22008,2017-08-10,900067000089755,unexposed
22008,2017-08-10,900067000089780,exposed
22008,2017-08-10,900067000089800,exposed
22008,2017-08-10,900067000089829,exposed
22008,2017-08-10,900067000089837,unexposed
22008,2017-08-10,900067000089965,exposed
22008,2017-08-10,900067000114405,wild
22008,2017-09-12,900067000089560,unexposed
22008,2017-09-12,900067000089636,exposed
22008,2017-09-12,900067000089652,exposed
22008,2017-09-12,900067000089680,exposed
22008,2017-09-12,900067000089709,exposed
22008,2017-09-12,900067000089755,unexposed
22008,2017-09-12,900067000089780,exposed
22008,2017-09-12,900067000089829,exposed
22008,2017-09-12,900067000089900,exposed
22008,2017-09-12,900067000089965,exposed
22008,2017-09-12,900067000114405,wild
22008,2017-09-13,900067000089520,unexposed
22008,2017-09-13,900067000089526,exposed
22008,2017-09-13,900067000089560,unexposed
22008,2017-09-13,900067000089636,exposed
22008,2017-09-13,900067000089676,exposed
22008,2017-09-13,900067000089680,exposed
22008,2017-09-13,900067000089709,exposed
22008,2017-09-13,900067000089741,exposed
22008,2017-09-13,900067000089751,exposed
22008,2017-09-13,900067000089755,unexposed
22008,2017-09-13,900067000089780,exposed
22008,2017-09-13,900067000089800,exposed
22008,2017-09-13,900067000089837,unexposed
22008,2017-09-13,900067000089900,exposed
22008,2017-09-13,900067000089965,exposed
22008,2017-09-13,900067000089985,unexposed
22008,2017-09-14,900067000089520,unexposed
22008,2017-09-14,900067000089526,exposed
22008,2017-09-14,900067000089593,exposed
22008,2017-09-14,900067000089636,exposed
22008,2017-09-14,900067000089676,exposed
22008,2017-09-14,900067000089680,exposed
22008,2017-09-14,900067000089709,exposed
22008,2017-09-14,900067000089741,exposed
22008,2017-09-14,900067000089751,exposed
22008,2017-09-14,900067000089753,unexposed
22008,2017-09-14,900067000089755,unexposed
22008,2017-09-14,900067000089780,exposed
22008,2017-09-14,900067000089837,unexposed
22008,2017-09-14,900067000089900,exposed
22008,2017-09-14,900067000089965,exposed
22008,2017-09-14,900067000089985,unexposed
22008,2017-09-14,900067000089987,exposed
22008,2017-09-14,900067000114823,wild
22008,2017-09-14,900067000114846,wild
22008,2018-06-28,900067000089528,exposed
22008,2018-06-28,900067000089581,exposed
22008,2018-06-28,900067000089652,exposed
22008,2018-06-28,900067000089676,exposed
22008,2018-06-28,900067000089709,exposed
22008,2018-06-28,900067000089755,unexposed
22008,2018-06-28,900067000089780,exposed
22008,2018-06-28,900067000089837,unexposed
22008,2018-06-28,900067000089965,exposed
22008,2018-06-28,900067000089985,unexposed
22008,2018-06-28,982000410163511,exposed
22008,2018-06-29,900067000089528,exposed
22008,2018-06-29,900067000089581,exposed
22008,2018-06-29,900067000089676,exposed
22008,2018-06-29,900067000089709,exposed
22008,2018-06-29,900067000089730,exposed
22008,2018-06-29,900067000089755,unexposed
22008,2018-06-29,900067000089780,exposed
22008,2018-06-29,900067000089837,unexposed
22008,2018-06-29,900067000089900,exposed
22008,2018-06-29,900067000089902,exposed
22008,2018-06-29,900067000089965,exposed
22008,2018-06-29,900067000089985,unexposed
22008,2018-06-29,982000410163511,exposed
22008,2018-06-30,900067000089528,exposed
22008,2018-06-30,900067000089581,exposed
22008,2018-06-30,900067000089652,exposed
22008,2018-06-30,900067000089676,exposed
22008,2018-06-30,900067000089709,exposed
22008,2018-06-30,900067000089755,unexposed
22008,2018-06-30,900067000089780,exposed
22008,2018-06-30,900067000089837,unexposed
22008,2018-06-30,900067000089900,exposed
22008,2018-06-30,900067000089902,exposed
22008,2018-06-30,900067000089965,exposed
22008,2018-06-30,900067000089985,unexposed
22008,2018-06-30,982000410163511,exposed
22008,2018-09-03,900067000089581,exposed
22008,2018-09-03,900067000089652,exposed
22008,2018-09-03,900067000089755,unexposed
22008,2018-09-03,900067000089902,exposed
22008,2018-09-03,900067000089965,exposed
22019,2018-09-04,900043000144489,wild
22008,2018-09-04,900067000089581,exposed
22008,2018-09-04,900067000089651,unexposed
22008,2018-09-04,900067000089652,exposed
22008,2018-09-04,900067000089709,exposed
22008,2018-09-04,900067000089900,exposed
22008,2018-09-04,900067000089965,exposed
22008,2018-09-04,900067000089985,unexposed
22008,2018-09-05,900067000089528,exposed
22008,2018-09-05,900067000089581,exposed
22008,2018-09-05,900067000089652,exposed
22008,2018-09-05,900067000089965,exposed
22008,2019-08-19,900067000089531,exposed
22008,2019-08-19,900067000089600,exposed
22008,2019-08-19,900067000089709,exposed
22008,2019-08-19,900067000089751,exposed
22008,2019-08-19,900067000089755,unexposed
22008,2019-08-19,900067000089780,exposed
22008,2019-08-19,900067000089800,exposed
22008,2019-08-19,900067000089817,exposed
22008,2019-08-19,900067000089900,exposed
22008,2019-08-19,900067000089985,unexposed
22008,2019-08-19,900067000114823,wild
22019,2019-08-19,900067000117200,wild
22008,2019-08-19,900067000117202,wild
22008,2019-08-19,900067000117239,wild
22008,2019-08-19,900067000117245,wild
22008,2019-08-19,900067000117375,wild
22008,2019-08-19,982000410163511,exposed
22008,2019-08-20,900043000144376,wild
22019,2019-08-20,900043000144396,wild
22008,2019-08-20,900067000089709,exposed
22008,2019-08-20,900067000089751,exposed
22008,2019-08-20,900067000089755,unexposed
22008,2019-08-20,900067000089780,exposed
22008,2019-08-20,900067000089800,exposed
22008,2019-08-20,900067000089900,exposed
22008,2019-08-20,900067000117202,wild
22008,2019-08-20,900067000117239,wild
22008,2019-08-20,900067000117245,wild
22008,2019-08-20,900067000117375,wild
22008,2019-08-20,982000410163511,exposed
22008,2019-08-21,900043000144376,wild
22019,2019-08-21,900043000144489,wild
22008,2019-08-21,900067000089531,exposed
22008,2019-08-21,900067000089593,exposed
22008,2019-08-21,900067000089631,exposed
