site_id,type,release_date,pit_tag_id
10114,reintroduction,2023-08-28,900043000216882
10114,reintroduction,2023-08-28,900043000216886
10114,reintroduction,2023-08-28,900043000216890
10114,reintroduction,2023-08-28,900043000216899
10114,reintroduction,2023-08-28,900043000216927
10114,reintroduction,2023-08-28,900043000216932
10114,reintroduction,2023-08-28,900043000216936
10114,reintroduction,2023-08-28,900043000216939
10114,reintroduction,2023-08-28,900043000216946
10114,reintroduction,2023-08-28,900043000216949
10114,reintroduction,2023-08-28,900043000216963
10114,reintroduction,2023-08-28,900043000216965
10114,reintroduction,2023-08-28,900043000216968
10114,reintroduction,2023-08-28,900043000216969
10114,reintroduction,2023-08-28,900043000216972
10114,reintroduction,2023-08-28,900043000216977
10114,reintroduction,2023-08-28,900043000216990
10114,reintroduction,2023-08-28,900043000216995
10114,reintroduction,2023-08-28,900043000217005
10114,reintroduction,2023-08-28,900043000217020
10114,reintroduction,2023-08-28,900043000217036
10114,reintroduction,2023-08-28,900043000217049
10114,reintroduction,2023-08-28,900043000217067
10114,reintroduction,2023-08-28,900043000217085
10114,reintroduction,2023-08-28,900043000217086
10114,reintroduction,2023-08-28,900043000217087
10114,reintroduction,2023-08-28,900043000217089
10114,reintroduction,2024-07-19,900043000261303
10114,reintroduction,2024-07-19,900043000261305
10114,reintroduction,2024-07-19,900043000261316
10114,reintroduction,2024-07-19,900043000261322
10114,reintroduction,2024-07-19,900043000261323
10114,reintroduction,2024-07-19,900043000261326
10114,reintroduction,2024-07-19,900043000261327
10114,reintroduction,2024-07-19,900043000261330
10114,reintroduction,2024-07-19,900043000261332
10114,reintroduction,2024-07-19,900043000261338
10114,reintroduction,2024-07-19,900043000261341
10114,reintroduction,2024-07-19,900043000261342
10114,reintroduction,2024-07-19,900043000261347
10114,reintroduction,2024-07-19,900043000261349
10114,reintroduction,2024-07-19,900043000261350
10114,reintroduction,2024-07-19,900043000261357
10114,reintroduction,2024-07-19,900043000261367
10114,reintroduction,2024-07-19,900043000261370
10114,reintroduction,2024-07-19,900043000261375
10114,reintroduction,2024-07-19,900043000261382
10114,reintroduction,2024-07-19,900043000261399
10114,reintroduction,2024-07-19,900043000261801
10114,reintroduction,2024-07-19,900043000261810
10114,reintroduction,2024-07-19,900043000261824
10114,reintroduction,2024-07-19,900043000261825
10114,reintroduction,2024-07-19,900043000261830
10114,reintroduction,2024-07-19,900043000261837
10114,reintroduction,2024-07-19,900043000261841
10114,reintroduction,2024-07-19,900043000261842
10114,reintroduction,2024-07-19,900043000261853
10114,reintroduction,2024-07-19,900043000261855
10114,reintroduction,2024-07-19,900043000261858
10114,reintroduction,2024-07-19,900043000261859
10114,reintroduction,2024-07-19,900043000261890
10114,reintroduction,2024-07-19,900043000261892
10114,reintroduction,2024-07-19,900043000261897
10114,reintroduction,2024-07-19,900043000261898
10114,reintroduction,2024-07-19,900043000261899
10114,reintroduction,2024-07-19,900043000262002
10114,reintroduction,2024-07-19,900043000262003
10114,reintroduction,2024-07-19,900043000262004
10114,reintroduction,2024-07-19,900043000262005
10114,reintroduction,2024-07-19,900043000262007
10114,reintroduction,2024-07-19,900043000262008
10114,reintroduction,2024-07-19,900043000262009
10114,reintroduction,2024-07-19,900043000262011
10114,reintroduction,2024-07-19,900043000262012
10114,reintroduction,2024-07-19,900043000262014
10114,reintroduction,2024-07-19,900043000262016
10114,reintroduction,2024-07-19,900043000262019
10114,reintroduction,2024-07-19,900043000262021
10114,reintroduction,2024-07-19,900043000262022
10114,reintroduction,2024-07-19,900043000262023
10114,reintroduction,2024-07-19,900043000262024
10114,reintroduction,2024-07-19,900043000262025
10114,reintroduction,2024-07-19,900043000262029
10114,reintroduction,2024-07-19,900043000262031
10114,reintroduction,2024-07-19,900043000262032
10114,reintroduction,2024-07-19,900043000262033
10114,reintroduction,2024-07-19,900043000262034
10114,reintroduction,2024-07-19,900043000262035
10114,reintroduction,2024-07-19,900043000262036
10114,reintroduction,2024-07-19,900043000262037
10114,reintroduction,2024-07-19,900043000262039
10114,reintroduction,2024-07-19,900043000262040
10114,reintroduction,2024-07-19,900043000262041
10114,reintroduction,2024-07-19,900043000262042
10114,reintroduction,2024-07-19,900043000262043
10114,reintroduction,2024-07-19,900043000262044
10114,reintroduction,2024-07-19,900043000262048
10114,reintroduction,2024-07-19,900043000262051
10114,reintroduction,2024-07-19,900043000262052
10114,reintroduction,2024-07-19,900043000262053
10114,reintroduction,2024-07-19,900043000262056
10114,reintroduction,2024-07-19,900043000262057
10114,reintroduction,2024-07-19,900043000262061
10114,reintroduction,2024-07-19,900043000262062
10114,reintroduction,2024-07-19,900043000262068
10114,reintroduction,2024-07-19,900043000262070
10114,reintroduction,2024-07-19,900043000262072
10114,reintroduction,2024-07-19,900043000262077
10114,reintroduction,2024-07-19,900043000262078
10114,reintroduction,2024-07-19,900043000262079
10114,reintroduction,2024-07-19,900043000262082
10114,reintroduction,2024-07-19,900043000262085
10114,reintroduction,2024-07-19,900043000262091
10114,reintroduction,2024-07-19,900043000262092
10114,reintroduction,2024-07-19,900043000262094
10114,reintroduction,2024-07-19,900043000262096
10114,reintroduction,2024-07-19,900043000262097
10114,reintroduction,2024-07-19,900043000262099
10114,reintroduction,2024-07-19,900043000279251
