site_id,type,release_date,pit_tag_id,bd_exposure
20276,zoo_reintroduction,2023-08-28,982091068542972,unexposed
20276,zoo_reintroduction,2023-08-28,982091068543089,exposed
20276,zoo_reintroduction,2023-08-28,982091068543271,unexposed
20276,zoo_reintroduction,2023-08-28,982091068544102,exposed
20276,zoo_reintroduction,2023-08-28,982091068544109,unexposed
20276,zoo_reintroduction,2023-08-28,982091068544860,exposed
20276,zoo_reintroduction,2023-08-28,982091068545147,exposed
20276,zoo_reintroduction,2023-08-28,982091068545333,exposed
20276,zoo_reintroduction,2023-08-28,982091068545478,exposed
20276,zoo_reintroduction,2023-08-28,982091068545692,exposed
20276,zoo_reintroduction,2023-08-28,982091068545864,exposed
20276,zoo_reintroduction,2023-08-28,982091068546524,exposed
20276,zoo_reintroduction,2023-08-28,982091068546691,unexposed
20276,zoo_reintroduction,2023-08-28,982091068547303,exposed
20276,zoo_reintroduction,2023-08-28,982091068547559,exposed
20276,zoo_reintroduction,2023-08-28,982091068547751,unexposed
20276,zoo_reintroduction,2023-08-28,982091068548284,exposed
20276,zoo_reintroduction,2023-08-28,982091068548294,unexposed
20276,zoo_reintroduction,2023-08-28,982091068548673,exposed
20276,zoo_reintroduction,2023-08-28,982091068549172,unexposed
20276,zoo_reintroduction,2023-08-28,982091068549264,exposed
20276,zoo_reintroduction,2023-08-28,982091068550309,exposed
20276,zoo_reintroduction,2023-08-28,982091068550412,exposed
20276,zoo_reintroduction,2023-08-28,982091068552051,unexposed
20276,zoo_reintroduction,2023-08-28,982091068552281,exposed
20276,zoo_reintroduction,2023-08-28,982091068552585,unexposed
20276,zoo_reintroduction,2023-08-28,982091068553816,unexposed
20276,zoo_reintroduction,2023-08-28,982091068554611,unexposed
20276,zoo_reintroduction,2023-08-28,982091068554762,unexposed
20276,zoo_reintroduction,2023-08-28,982091068555319,unexposed
20276,zoo_reintroduction,2023-08-28,982091068555704,exposed
20276,zoo_reintroduction,2023-08-28,982091068556162,unexposed
20276,zoo_reintroduction,2023-08-28,982091068556447,exposed
20276,zoo_reintroduction,2023-08-28,982091068557082,unexposed
20276,zoo_reintroduction,2023-08-28,982091068557364,exposed
20276,zoo_reintroduction,2023-08-28,982091068557477,unexposed
20276,zoo_reintroduction,2023-08-28,982091068557498,unexposed
20276,zoo_reintroduction,2023-08-28,982091068558552,unexposed
20276,zoo_reintroduction,2023-08-28,982091068559561,exposed
20276,zoo_reintroduction,2023-08-28,982091068559959,unexposed
20276,zoo_reintroduction,2023-08-28,982091068561014,unexposed
20276,zoo_reintroduction,2023-08-28,982091068561226,exposed
20276,zoo_reintroduction,2023-08-28,982091068561435,exposed
20276,zoo_reintroduction,2023-08-28,982091068561436,unexposed
20276,zoo_reintroduction,2023-08-28,982091068561458,unexposed
20276,zoo_reintroduction,2023-08-28,982091068562771,exposed
20276,zoo_reintroduction,2023-08-28,982091068563169,unexposed
20276,zoo_reintroduction,2023-08-28,982091068563280,exposed
20276,zoo_reintroduction,2023-08-28,982091068563346,unexposed
20276,zoo_reintroduction,2023-08-28,982091068563822,unexposed
20276,zoo_reintroduction,2023-08-28,982091068564209,unexposed
20276,zoo_reintroduction,2023-08-28,982091068564390,unexposed
20276,zoo_reintroduction,2024-07-19,982091068034071,NA
20276,zoo_reintroduction,2024-07-19,982091068034188,NA
20276,zoo_reintroduction,2024-07-19,982091068034384,NA
20276,zoo_reintroduction,2024-07-19,982091068034400,NA
20276,zoo_reintroduction,2024-07-19,982091068034501,NA
20276,zoo_reintroduction,2024-07-19,982091068534745,NA
20276,zoo_reintroduction,2024-07-19,982091068536679,NA
20276,zoo_reintroduction,2024-07-19,982091068536703,NA
20276,zoo_reintroduction,2024-07-19,982091068537109,NA
20276,zoo_reintroduction,2024-07-19,982091068538836,NA
20276,zoo_reintroduction,2024-07-19,982091068539613,NA
20276,zoo_reintroduction,2024-07-19,982091068539885,NA
20276,zoo_reintroduction,2024-07-19,982091068540278,NA
20276,zoo_reintroduction,2024-07-19,982091068540967,NA
20276,zoo_reintroduction,2024-07-19,982091068541562,NA
20276,zoo_reintroduction,2024-07-19,982091068542535,NA
20276,zoo_reintroduction,2024-07-19,982091068543573,NA
20276,zoo_reintroduction,2024-07-19,982091068543609,NA
20276,zoo_reintroduction,2024-07-19,982091068543781,NA
20276,zoo_reintroduction,2024-07-19,982091068544848,NA
20276,zoo_reintroduction,2024-07-19,982091068545424,NA
20276,zoo_reintroduction,2024-07-19,982091068545993,NA
20276,zoo_reintroduction,2024-07-19,982091068546334,NA
20276,zoo_reintroduction,2024-07-19,982091068547755,NA
20276,zoo_reintroduction,2024-07-19,982091068547949,NA
20276,zoo_reintroduction,2024-07-19,982091068548091,NA
20276,zoo_reintroduction,2024-07-19,982091068549317,NA
20276,zoo_reintroduction,2024-07-19,982091068550831,NA
20276,zoo_reintroduction,2024-07-19,982091068551047,NA
20276,zoo_reintroduction,2024-07-19,982091068551641,NA
20276,zoo_reintroduction,2024-07-19,982091068551768,NA
20276,zoo_reintroduction,2024-07-19,982091068554729,NA
20276,zoo_reintroduction,2024-07-19,982091068554799,NA
20276,zoo_reintroduction,2024-07-19,982091068557105,NA
20276,zoo_reintroduction,2024-07-19,982091068557128,NA
20276,zoo_reintroduction,2024-07-19,982091068557456,NA
20276,zoo_reintroduction,2024-07-19,982091068557626,NA
20276,zoo_reintroduction,2024-07-19,982091068557941,NA
20276,zoo_reintroduction,2024-07-19,982091068558309,NA
20276,zoo_reintroduction,2024-07-19,982091068558925,NA
20276,zoo_reintroduction,2024-07-19,982091068558939,NA
20276,zoo_reintroduction,2024-07-19,982091068560446,NA
20276,zoo_reintroduction,2024-07-19,982091068561400,NA
20276,zoo_reintroduction,2024-07-19,982091068561414,NA
20276,zoo_reintroduction,2024-07-19,982091068561453,NA
20276,zoo_reintroduction,2024-07-19,982091068561482,NA
20276,zoo_reintroduction,2024-07-19,982091076711366,NA
20276,zoo_reintroduction,2024-07-19,982091076711368,NA
20276,zoo_reintroduction,2024-07-19,982091076711369,NA
20276,zoo_reintroduction,2024-07-19,982091076711370,NA
20276,zoo_reintroduction,2024-07-19,982091076711372,NA
20276,zoo_reintroduction,2024-07-19,982091076711376,NA
20276,zoo_reintroduction,2024-07-19,982091076711380,NA
20276,zoo_reintroduction,2024-07-19,982091076711386,NA
20276,zoo_reintroduction,2024-07-19,982091076711388,NA
20276,zoo_reintroduction,2024-07-19,982091076711390,NA
20276,zoo_reintroduction,2024-07-19,982091076711393,NA
20276,zoo_reintroduction,2024-07-19,982091076711400,NA
20276,zoo_reintroduction,2024-07-19,982091076711402,NA
20276,zoo_reintroduction,2024-07-19,982091076711408,NA
20276,zoo_reintroduction,2024-07-19,982091076711409,NA
20276,zoo_reintroduction,2024-07-19,982091076711418,NA
20276,zoo_reintroduction,2024-07-19,982091076711423,NA
20276,zoo_reintroduction,2024-07-19,982091076711430,NA
20276,zoo_reintroduction,2024-07-19,982091076711431,NA
20276,zoo_reintroduction,2024-07-19,982091076711434,NA
20276,zoo_reintroduction,2024-07-19,982091076711436,NA
20276,zoo_reintroduction,2024-07-19,982091076711440,NA
20276,zoo_reintroduction,2024-07-19,982091076711445,NA
20276,zoo_reintroduction,2024-07-19,982091076711453,NA
