site_id,survey_date,pit_tag_id,bd_load
20135,2016-08-14,900067000089612,0
20135,2016-08-14,900067000089635,0
20135,2016-08-14,900067000089689,0
20135,2016-08-14,900067000089762,1370.304
20135,2016-08-14,900067000089781,0
20135,2016-08-15,900067000089635,NA
20135,2016-08-15,900067000089667,0
20135,2016-08-15,900067000089762,NA
20135,2016-08-15,900067000089918,0
20135,2016-08-15,900067000089934,0
20135,2016-08-15,900067000089940,0
20135,2016-08-15,900067000089996,0
20135,2016-08-16,900067000089508,0
20135,2016-08-16,900067000089625,0
20135,2016-08-16,900067000089635,NA
20135,2016-08-16,900067000089656,0
20135,2016-08-16,900067000089667,NA
20135,2016-08-16,900067000089762,NA
20135,2016-08-16,900067000089844,0
20135,2016-08-17,900067000089524,0
20135,2016-08-17,900067000089587,0
20135,2016-08-17,900067000089595,0
20135,2016-08-17,900067000089601,0
20135,2016-08-17,900067000089687,0
20135,2016-09-06,900067000089563,0
20135,2016-09-06,900067000089587,0
20135,2016-09-06,900067000089595,0
20135,2016-09-06,900067000089612,0
20135,2016-09-06,900067000089656,0
20135,2016-09-06,900067000089667,0
21520,2016-09-06,900067000089693,0
20135,2016-09-06,900067000089762,0
20135,2016-09-06,900067000089773,0
20135,2016-09-06,900067000089781,0
20135,2016-09-06,900067000089827,1740.504
20135,2016-09-06,900067000089844,0
20135,2016-09-06,900067000089891,0
20135,2016-09-06,900067000089977,0
20135,2016-09-06,900067000089999,0
20135,2016-09-07,900067000089508,NA
20135,2016-09-07,900067000089548,0
20135,2016-09-07,900067000089551,0
20135,2016-09-07,900067000089557,0
20135,2016-09-07,900067000089595,NA
20135,2016-09-07,900067000089601,0
20135,2016-09-07,900067000089635,0
20135,2016-09-07,900067000089656,NA
20135,2016-09-07,900067000089667,NA
20135,2016-09-07,900067000089689,0
20135,2016-09-07,900067000089721,0
20135,2016-09-07,900067000089772,0
20135,2016-09-07,900067000089781,NA
20135,2016-09-07,900067000089821,0
20135,2016-09-07,900067000089844,NA
20135,2016-09-07,900067000089877,0
20135,2016-09-07,900067000089891,NA
20135,2016-09-07,900067000089992,0
20135,2016-09-07,900067000089994,0
20135,2016-09-08,900067000089508,NA
20135,2016-09-08,900067000089524,0
20135,2016-09-08,900067000089551,NA
20135,2016-09-08,900067000089556,0
20135,2016-09-08,900067000089563,NA
20135,2016-09-08,900067000089587,NA
20135,2016-09-08,900067000089595,NA
20135,2016-09-08,900067000089601,NA
20135,2016-09-08,900067000089635,NA
