site_id,survey_date,survey_type,primary_period,secondary_period
22008,2016-07-18,reintroduction,1,0
22008,2016-07-19,cmr,2,1
22008,2016-07-20,cmr,2,2
22008,2016-07-21,cmr,2,3
22008,2016-07-22,cmr,2,4
22008,2016-07-23,cmr,2,5
22008,2016-07-24,cmr,2,6
22008,2016-08-14,cmr,3,1
22008,2016-08-15,cmr,3,2
22008,2016-08-16,cmr,3,3
22008,2016-08-17,cmr,3,4
22008,2016-09-07,cmr,4,1
22008,2016-09-08,cmr,4,2
22008,2016-09-09,cmr,4,3
22008,2017-08-08,cmr,5,1
22008,2017-08-09,cmr,5,2
22008,2017-08-10,cmr,5,3
22008,2017-08-15,reintroduction,6,0
22008,2017-09-12,cmr,7,1
22008,2017-09-13,cmr,7,2
22008,2017-09-14,cmr,7,3
22008,2018-06-28,cmr,8,1
22008,2018-06-29,cmr,8,2
22008,2018-06-30,cmr,8,3
22008,2018-09-03,cmr,9,1
22008,2018-09-04,cmr,9,2
22008,2018-09-05,cmr,9,3
22008,2019-08-19,cmr,10,1
22008,2019-08-20,cmr,10,2
22008,2019-08-21,cmr,10,3
22008,2020-07-14,cmr,11,1
22008,2020-07-15,cmr,11,2
22008,2020-07-16,cmr,11,3
22008,2021-07-22,cmr,12,1
22008,2021-07-23,cmr,12,2
22008,2022-06-17,cmr,13,1
22008,2022-06-18,cmr,13,2
